iter   i     a     b      Smsy      Emin
326 20 1.402938 85843.9 34674.01 19050.44
327 20 1.578916 66730.06 26102.08 19050.44
328 20 1.55574 65663.22 25795.18 19050.44
329 20 1.59082 65766.43 25668.36 19050.44
330 20 1.627801 64427.46 24972.95 19050.44
331 20 2.0306 58390.75 20937.92 16750.34
332 20 1.816296 96579.79 36117.85 19050.44
333 20 1.487502 82822.34 32945.94 19050.44
334 20 1.685432 53340.23 20452.54 16362.03
335 20 1.541087 106525 41960.59 19050.44
336 20 1.925776 66572.04 24371.07 19050.44
337 20 1.303315 149021.9 61266.45 19050.44
338 20 1.107154 141697.6 60253.16 19050.44
339 20 1.031119 205887821575 88664742291 19050.44
340 20 1.9688 79734.34 28943.58 19050.44
341 20 1.245317 144000.9 59804.5 19050.44
342 20 1.118892 134600.7 57122.4 19050.44
343 20 1.436938 119313.1 47898.98 19050.44
344 20 1.827155 102781.5 38356.56 19050.44
345 20 1.331112 70433.73 28815.55 19050.44
346 20 1.752378 90035.74 34086.47 19050.44
347 20 0.8397139 1932153140 858176221 19050.44
348 20 1.160699 295491.5 124516.9 19050.44
349 20 1.390948 131641.1 53286.65 19050.44
350 20 1.444013 100786.4 40409.66 19050.44
351 20 1.503599 119526.1 47406.8 19050.44
352 20 1.735294 86729.15 32941.85 19050.44
353 20 1.48772 105703.8 42046.28 19050.44
354 20 1.904737 73895.56 27163.81 19050.44
355 20 1.598928 91426.95 35629.78 19050.44
356 20 1.123584 168625164634 71505206502 19050.44
357 20 1.305377 139426.4 57300.77 19050.44
358 20 1.267912 488682.7 202157.4 19050.44
359 20 1.472212 138763.3 55352.6 19050.44
360 20 1.838854 48718.06 18139.76 14511.8
361 20 1.431168 110602 44448.09 19050.44
362 20 1.020033 187835.5 81038.62 19050.44
363 20 1.863947 65463.27 24256.29 19050.44
364 20 1.804448 74415.6 27892.79 19050.44
365 20 1.670387 89696.34 34490.56 19050.44
366 20 1.579707 67418.85 26367.64 19050.44
367 20 1.611808 76090.9 29582.11 19050.44
368 20 1.341673 152094.9 62108.32 19050.44
369 20 2.119901 59148.62 20834.24 16667.39
370 20 1.603208 113305.5 44120.84 19050.44
371 20 1.46 102459.3 40961.66 19050.44
372 20 1.609186 72191.44 28079.83 19050.44
373 20 1.551308 124843.8 49083.86 19050.44
374 20 1.416969 103342.5 41636.99 19050.44
375 20 1.494021 112142 44556 19050.44
376 20 1.607924 68258.21 26556.2 19050.44
377 20 1.550527 106553.8 41898.95 19050.44
